Letter,x_box,y_box,width,height,onpix_total,x_bar,y_bar,x2_bar,y2_bar,xy_bar,x2y_bar,xy2_bar,x_ege,xegvy,y_ege,yegvx,Label
N,5.2452759115503795,10.732019451954637,7.107722718053533,10.009836847315238,9.986484761420042,18.85497557284704,8.423314725381259,9.1110387485612,12.030054709744068,6.110374909838467,7.455944968174302,15.963676356382969,3.63315770705601,8.10687508616898,2.2775785229418952,8.282329753151032,port_scan
K,7.784775147228109,7.98002739750719,10.151194283001985,7.655910171122213,5.684732610815244,21.257399120819365,8.779353486301456,7.338664275113297,16.284245683538145,15.35965195721808,6.916234219555259,4.406389822258042,0.646677113817574,5.584009674695938,3.436491482491671,2.0955802961161822,ddos_attack
E,2.53114583254917,6.518356365847546,6.189764459563365,4.456399302267509,5.335436964011842,6.296733539619798,3.3544283381910875,3.339141639716014,11.889383772945035,2.9467328276188427,4.248983886662724,10.072723589675874,0.746910893316838,4.79615456871481,2.1795572532360303,6.550286267003307,normal
K,5.213236929582803,9.345584403720334,13.235722982168909,6.8716533046084525,5.035278433594067,22.31617485267475,10.058279674561952,6.4529646128657845,4.8497197775874685,11.565257271757961,8.86927546857452,5.256609299152196,3.7831013079980664,10.668062323972958,0.31503757953071077,7.880108220581965,ddos_attack
H,3.9920645460387236,5.591745429609794,11.897632776209967,8.845363496928528,0.6092584756843742,23.079093308296507,13.404895441066031,8.922412342987592,8.086450640420427,9.807633795710512,16.409953878393978,13.980118021851224,4.643344071923389,8.044110950458066,7.196631526754708,18.547489400370857,ddos_attack
L,2.0420512741572927,10.546171346470206,10.530606782276664,5.741349737613907,11.225419944380551,6.886714233140931,14.523756784731471,6.573236040182754,7.969267554051347,9.099655650118049,14.531354063252824,15.240734286568303,3.635899390774684,11.841179352046845,3.6084603891616123,10.32609680718842,port_scan
T,3.2416739382842663,11.8428445272045,3.835043773148685,7.362408996406701,2.5565512047726875,11.212738830123762,9.258544993600815,3.333370010983992,4.986747347991642,9.704362238003874,4.361484900988481,7.476581489078027,1.5256045627601633,6.736205296313626,1.785309899116774,5.614837645219067,normal
O,6.4100668846353015,11.110848069800907,8.301440932478075,12.392954760808092,7.4689945904302775,11.94545457815589,19.352868278553448,6.511978873086283,8.935839966897706,13.392521279479704,13.31844465516195,6.2719416747635215,3.4667000781044184,4.44742730107739,1.8693411019940431,6.834388007372695,port_scan
N,2.64035136448191,6.452087413372981,6.717975504216597,7.11618929902926,1.2066590792658234,14.719882411694975,0.6536495933106199,2.4670016377954997,12.459841373277193,12.808650100572772,9.27604321445584,10.005738468439075,5.782571599653999,9.251504964445315,2.5850219465287223,6.433022155196058,port_scan
A,5.9701128501660286,9.605913980125445,3.7150976415068513,2.29516776159243,1.1327291401939998,13.100404731199813,12.218995755911353,4.17056813746648,1.5743895600612845,4.195586612222879,1.9405791198760554,2.849721850215598,4.702403158582541,10.119835816828948,0.5055371285792405,6.982530048204802,normal
H,8.603033810871874,11.902194731849297,8.69845702177168,7.621573730834906,14.922422668590649,10.468701590669207,1.0765091763502301,6.2677912851377355,10.418489775422461,11.501828686889663,7.029947992611161,8.634071245717847,3.9467960463290033,4.780546460150884,5.432996690176765,1.3474091804584738,ddos_attack
L,6.254807768098601,7.5451984964952565,3.995213033227853,9.32268876308137,10.130767688153183,6.579753015320437,13.4571763165968,7.315110736313513,9.656194075803308,7.4860748931942025,8.45567594511348,8.690910780282806,3.5606623508924815,7.631045928304881,3.930848893356945,9.240866920348147,port_scan
L,2.3972858702440067,1.3062645007852538,0.46371428030578876,10.513794766184274,2.0402770335767944,11.819000090356836,10.558292151899233,5.542003438914152,5.232113296609201,6.613188416055519,12.740605368365696,8.14982960491619,5.137778888919495,8.449674192367441,2.971922596384674,7.5865389939364665,port_scan
L,3.8512570922157057,6.780306043611366,9.891723737617227,13.130223452175368,9.378655751292044,13.130908861648388,9.67021621023601,1.9356002167775515,6.4702772508748145,11.19805557194121,13.793733730473495,10.087781422759033,3.402155389986556,6.016155668442774,2.3653869358330732,3.852102593219934,port_scan
