Letter,x_box,y_box,width,height,onpix_total,x_bar,y_bar,x2_bar,y2_bar,xy_bar,x2y_bar,xy2_bar,x_ege,xegvy,y_ege,yegvx,Label
B,2.623434047871335,7.5903322087630745,2.031560409127198,8.726131756419868,2.9266344675178027,9.066653951367297,8.251033328989525,5.664923714242313,5.266502134103346,7.895565007240879,6.237814460792841,8.66163585687463,1.8130420035239894,5.93361319986691,1.0012313020755261,5.4432359858182116,normal
A,1.3041715429776497,8.336072206570055,4.776163726284052,7.627538842587821,5.682996990326284,10.264993391734208,6.3785023296862775,2.7530452100300797,2.229616776131293,11.848764415246873,5.5556696968233625,5.974041728284249,3.572955126267601,4.203584121088643,3.1130605589739044,7.593122768657942,normal
B,4.057471966999081,8.902308443977839,2.044042819760632,7.636487364427964,2.6842285979964617,5.133960665846886,5.755706096783601,1.2025182367882845,5.139798646721704,10.627750599562974,5.180937041804993,4.846004864379178,1.6557536019515475,6.921911230840587,0.2008133690226548,4.96185442926386,normal
D,2.947932345442135,5.078304905951169,5.523763752686694,7.378543893259086,5.373095841129141,5.271837635615784,11.208382932808298,1.1962978744154382,7.467142734500676,15.666594690334925,3.523659187173279,5.58425567599307,2.1328684867835217,4.993048691767601,0.06755124142151026,7.137125949612055,normal
A,4.224229084322056,9.179268228817447,3.619347598684893,7.953036192884241,5.5619933594847035,13.365781571976388,8.700682212361261,3.670999131676191,5.642522663231183,1.2290043157463257,6.376647608708202,6.960712650368883,0.22656791264695353,5.949424748857744,3.7908909497290386,5.530904700104947,normal
F,7.971041700545015,13.667095467900829,7.71395141913725,7.627747043068121,11.030646815495423,7.38345017693138,13.681993818931263,6.651889432745499,7.7389005808359155,11.659523220678295,6.367193184404552,6.652676160639919,0.9694698297089905,7.695944944471383,5.859326245748845,8.493766927787481,ddos_attack
Q,13.992643983916256,18.952810442016446,8.042024369078279,9.999179279148244,3.0846077700399093,10.492430677353767,14.99013678865603,4.504248787597211,9.341455431841524,11.993894973990187,2.3460139800780135,11.929218167746535,3.366092454090254,9.780695493892852,2.2493860281984803,9.328139634118433,malware
B,6.201961872011111,8.567122054951966,6.207282167171895,5.151303392883312,3.2596974435676644,6.221351802618936,4.959986997646173,3.4731883102654537,5.298362811647949,5.886084281757881,4.626867731589245,9.741990636103509,4.81748287594427,5.003186754587109,1.5674727365768006,8.049218001261018,normal
D,3.4214878016025487,6.443251200448516,3.7225036661903,5.096164953125474,1.2319057291673654,10.548806291063073,8.071046457895141,2.6141808094786914,8.248999688583126,9.075548323068134,8.0321552970974,8.57407210480903,0.8946733187705704,4.879637919606061,2.9963914734976824,8.22074053086693,normal
S,9.39938531280679,23.098883992004026,5.509060135244721,9.459538448168898,11.211444650816773,11.778404959694754,5.3560835671591,8.442611789883886,16.75466630351563,19.60184688784924,9.860290347926645,10.830921743201916,3.7303586164259843,13.642188120493508,3.153968027818986,5.751250804535032,malware
M,5.227797217579872,12.487448476893727,5.627696551617945,9.794843381503085,8.131323244774041,17.316855352439294,20.240925839052416,6.617123383887303,6.09618784477279,22.58010253890336,11.401337532343545,14.4022853182924,2.7966247846792314,10.184850097823032,0.33644265836733833,10.656017630013963,port_scan
I,2.838022553470412,11.817753149731193,3.178952206976385,8.633003024809238,3.776000736030651,11.697542635208753,7.656049276828423,3.0312486160613927,10.097149965934882,8.788323734819613,6.416073839507903,9.018889079013572,3.23220317744738,7.625712928476198,0.19903739607799142,5.725528935848245,normal
T,3.9680639243777214,11.421578893830873,2.7134353858931943,7.257761009997139,6.175273460548763,2.7237815407306574,3.4502244620026747,0.07846435552020115,5.326482913888606,10.511397895285867,9.75589263024007,7.185236951049438,4.171487394095056,3.2397970835702172,0.27117658580687287,6.888904602206763,normal
I,0.9515028202745164,9.260267149226335,3.3290166857790027,7.91640678718062,2.292420575547969,7.769708272915004,12.04877939311881,8.7632735890159,7.965084889280207,6.995009659018152,5.06334667910964,4.95330753670355,1.166349088595258,5.452780512992063,4.6190039559931995,6.605556658292953,normal
D,5.285681115290712,1.8581323578413018,2.9193255373610416,4.341673213057036,2.439284632318773,7.856627367879386,3.816212101160229,2.6912533077739687,4.066937573867943,6.772237641894959,6.54555683132774,9.276410305927701,3.4071079953952195,7.307268522670648,0.8347011740198713,6.993408159345292,normal
I,2.9868141655449665,9.128527996618745,5.087802160652119,7.039052532684515,3.8579404985648513,13.34933850612517,10.725911794029567,3.8284736615343324,3.725767624628868,10.235182774431754,6.5396516204725135,11.272489157972085,3.3166573409342965,7.5284087760038165,2.017268717272126,5.248602516665515,normal
P,10.2597693624187,14.377291058431682,10.22482481053955,10.220859056020103,12.025615972451213,15.851046999934708,11.07436265556504,5.986046342631327,11.077808569513188,14.395420760185422,10.659099427585652,18.801603194581755,6.365957641340616,8.358917637412556,7.136165818382539,9.07173619442457,malware
C,3.7193713866496303,11.957576984891338,5.293437037218302,7.321417256757726,1.9436258390889782,6.724036297514466,6.8447230458840975,7.6818861398744165,4.984313176525539,8.911851454759056,0.38799273073172635,8.689521825110202,5.009597708124185,4.132723781474151,6.232589516169011,7.364481209313307,normal
A,5.673245427804118,9.47568654765447,4.289148049310584,6.810547219741367,3.7507317977209453,4.580736715529882,2.975664526600907,7.773656224248473,6.459708379762894,8.350334049028945,5.774430839859476,8.952683169041132,5.384921468983315,7.047905334215588,1.2158842315805964,6.733198284216912,normal
A,2.944446129421323,9.073620613459173,5.476431861658153,6.322587204905615,1.0188854945813741,8.44667068295667,3.8192251781616404,1.764109687266099,2.5932409911500525,1.3106121203709158,4.582092080161512,9.822221857617269,5.008645353903389,4.852829683319811,3.4481407023595407,6.21083536352681,normal
T,2.2132196005803397,9.223436403069796,2.3704962548107398,7.307163788649378,2.279023805525595,6.875537577351207,9.132879904610474,4.88852662297208,5.0975845854523,12.057654311774868,3.2973416810002565,8.53983901736066,2.7908016772911783,5.38090712137202,2.4348440296561575,4.497772847229394,normal
I,2.903560969334253,4.64323360373429,6.268572324701562,6.160782385246517,0.6170922745094347,12.862304070401823,8.852169429160977,1.5996600071967815,3.3887631340003033,7.221618480392552,6.743267447124556,8.556999578659804,3.2669046393714236,7.079144812800285,3.7956613048546606,7.25358631936094,normal
I,0.7139771374094543,6.003902381457366,5.7884158929335126,4.379740720415508,4.721900877605027,2.7392788462739386,13.243943970295426,3.390892723025485,6.238302017369298,8.626628787921378,7.518917160828396,3.2020500425345575,1.9928847055511156,4.682462348437287,0.2527429681043598,8.97424440025742,normal
K,8.667625963371133,15.570584826076052,5.933369368334773,8.805134836257512,6.448271920220073,15.301929613499876,5.745018345090765,14.317932400878554,5.934709584273934,12.138480938334768,5.632574622558192,11.65498062207589,3.274661404182005,5.608577469708346,4.980433399115352,11.874947443768374,ddos_attack
D,3.4005753988038885,10.224076989058592,4.1097119857005655,7.953380687619811,1.4481346496988836,12.228042320556739,13.896694370857752,3.2743228791206818,4.88624369649807,13.086845669911952,9.948930364326781,5.692849932116829,1.439750910538857,5.436430782278985,0.20739931862096395,5.1626961070316035,normal
C,2.376198987882323,7.739875608000908,4.68703047064902,8.189333598010293,3.2896357906163254,3.5004892660293674,8.894338880601813,8.907684348291419,6.271672077668376,2.0193132628714725,6.424132223677128,6.992468492040402,1.883854875516814,7.890819799954265,3.8376997151142986,8.367171490402166,normal
A,2.2212132431401255,5.824441894641221,5.607504103937116,6.629080926864268,6.97162441136164,4.6045515736019125,2.0818111970078306,4.925097105295081,6.600056844212616,9.069440121320405,8.33249160662642,8.054212309780649,2.540823457520505,7.430014027602281,2.6698888429160363,8.714891863434811,normal
E,2.4732889592687415,10.768471070846783,4.742904880892332,4.709526474449206,1.333359801559737,9.475379166198838,8.471258715108299,2.792439521875862,5.415023332744588,14.46382114030439,4.533629778696643,11.777011471146963,3.47155592336774,9.450832550110931,1.1612373705740948,6.662888251874478,normal
N,10.154933241107248,7.522224509440004,2.7032038533046454,5.885547836943763,5.79486292640026,14.769358843846067,8.914437739646516,6.468152340414316,3.4324968713810566,19.665424754411127,7.233008670224152,12.131211452661415,3.6283298016924577,8.756071352672906,4.044573347092374,9.731198540047616,port_scan
H,5.657444989000186,18.66580708757209,8.930310017743508,10.355211471309497,12.699240517648438,20.34503340492703,10.383218938568955,6.642810655443054,3.3462206768564693,15.035064027236038,12.641949873387153,7.187524631100025,5.71294907604112,8.774757216081289,0.8959229353272025,6.178041459961065,ddos_attack
Q,11.20403088107437,23.73002809670835,6.637782894081464,10.079556622257112,3.8105425187790525,17.13784636084891,17.712119287087432,11.452635531388253,21.36004140688289,15.525341380832586,5.76714636941761,13.513303041508966,1.7017364854969537,11.474970858093577,3.161403328880379,11.240582396331376,malware
T,3.8996757839470937,10.833866936256765,2.2970393787692225,3.1605703253942785,6.738980657392361,7.619565506290934,9.247907252192508,2.565424100087844,10.142471174261939,2.608534648388373,2.5360372837932785,10.610778959280863,1.479789057310534,6.757137736189832,1.8568986725378978,5.52809616159994,normal
B,0.6651271520103732,6.9297120975852184,6.001013054179081,7.558739860541404,1.9540435967764225,6.952226887044714,6.035094846347852,8.153495967121682,6.954838630578884,9.505145765168743,8.575708635079605,7.596972897566284,1.6546104722390624,5.607300301830043,1.9045316541145814,6.925555526980316,normal
A,2.408367229382219,6.9317859359806695,3.0389461080847484,6.887135914943465,5.415578024342844,4.343082432391621,6.845114583123192,4.393164146975476,6.459427836557605,8.583693668587813,4.994912974136939,7.6975760636563475,2.8240382813114935,6.282073311645128,2.674586448711632,8.980706822075014,normal
C,1.0829661248454359,3.8906482110298555,2.8197820013335364,8.846363328397677,1.6581812034481125,7.089392043268407,3.1205640290615264,2.798052073993278,6.424234480880049,5.549594443782471,8.724162162541154,10.834945302123916,0.9987943040745852,4.634015339297754,2.0788561630298967,9.252234052030762,normal
B,2.299777581315327,6.931688293579572,4.6155958908322825,10.30292038618334,4.567255839847695,8.620531555989576,14.367328598687665,5.957787079825451,6.635623010337321,6.322058494136668,6.790500190511402,6.834023989767159,2.121912170078662,8.628804849538945,1.2795704224833493,8.027081416327027,normal
T,1.1342051469130725,6.267737005510232,3.0421236459077368,7.640694691064809,2.1151509651239166,11.743226218021201,4.979528127268394,4.557988324447604,3.911632366850607,15.50802194720686,3.031003952426218,7.774551775567569,2.845035841242798,6.827598194902997,1.7529497881630556,6.740358600533147,normal
E,3.2536860751486354,8.628927712080799,5.0793856960078765,3.598375209815612,1.8945024641524935,12.742862884709606,2.688499717773123,1.555524405848872,3.4439115511355847,15.279810732916829,7.233458251028806,9.41351993608845,2.261556727438305,4.796225577597533,2.841721711013557,3.886768058406393,normal
A,2.1991363480248003,4.482139934462709,4.097329007964476,7.430143329480401,3.2255612628185584,11.681150179910457,4.75246227811261,4.450685507378134,4.681326690965359,9.265868048982792,7.259340115531065,8.455989899960157,0.5725408823525306,4.220507796426863,1.0609497224117481,6.522238504266805,normal
P,11.734351292421678,12.910391463091898,6.487076247842712,7.959291605867205,10.523889844051384,22.70196412587427,14.739381637487973,9.983116361004495,1.62341085610581,14.662631987391045,5.406322758597415,11.706890050731593,5.002807333568755,9.095322597648906,5.523984357908167,13.992344513924097,malware
B,2.0798960046885906,7.243825783779679,3.482430908611695,6.312429741021727,3.481721943149594,8.009138060460243,8.31081450923905,6.381292549572683,8.373885338603309,2.8028571104253377,0.3848028372548873,9.335799778098185,0.17749506877943855,5.550469196214633,0.43984929858752064,3.3960391248399606,normal
L,5.977239199194949,18.209869628372864,4.240654447713773,6.430828121631991,9.295552744897403,9.025458016686027,11.992628714594119,8.816298720945618,6.501941624688921,17.820213857072005,8.44721225043837,6.125283617637713,2.637358075856405,6.455667315054335,2.839329860669791,8.919974222854528,port_scan
J,5.547706392599256,8.352286749094544,7.8605307585909605,11.394537105060024,5.742951711996805,14.843547850910792,13.412717630533965,4.37644196977045,5.764006177858109,19.962751004473546,10.624958852742665,14.089056102113368,1.1614886419356756,6.9926125392681495,4.229025791205573,6.723137450676901,ddos_attack
F,5.213810432821637,11.708571942115272,7.130080978363231,8.08404167660419,7.770596090095405,24.996236708482442,5.937713605753862,9.906455049088311,7.275076554959542,19.21237394776496,15.9513129451096,11.91037308289899,4.411658086246667,13.297367005448127,5.916263955853051,7.101817771515694,ddos_attack
A,2.7923160240243394,4.939254409276586,3.721302323618633,4.440712500616283,1.258429650585832,9.765735213261829,12.00971351305422,4.7893430596459625,3.010292344912039,9.556109338770492,8.991578716614129,5.475542739201544,1.8213104444361097,6.0293763894583945,0.9534689158903467,8.296560867687718,normal
P,15.376467732281897,15.324400976160087,6.987272625393287,8.602338343006574,8.53480098884543,24.38726020864379,29.074445459469914,6.313991154652242,8.274586156914761,18.198579602016068,13.861098025377041,4.816061755708883,5.395216386122506,6.639011883925933,5.624302940885548,8.771840201738403,malware
B,1.119977710317171,8.87161086083555,2.1189006692161665,3.8468040342610195,1.4166694072621822,10.314316975747472,1.3121054760781323,4.340596724324788,8.582409867882014,7.317691770498645,5.077924426018649,8.004428206396435,1.7438519297047468,8.780999562481494,0.5181159838207534,6.89671168966983,normal
E,4.606686860676977,6.1796080598305325,3.798885839191259,5.56550151972304,4.053866428273625,13.069680369878869,10.479373735867917,3.246171549172208,7.356159653750592,12.390249040004495,7.020862910986946,6.988251488899569,2.594666792889581,4.593456954873053,1.2569585011945588,4.871931529597806,normal
B,3.6548397062365017,10.259837102715489,0.8494234192775489,4.148827041365115,4.857462783015594,14.172486409135097,7.062381123026224,2.543994117541731,5.542758897237899,12.812067467018647,4.385089552188662,5.002019983374366,1.3563419704239568,4.0933427834825755,2.163560421326394,10.24935691693912,normal
B,2.209071083639669,6.719175813944241,3.6566130399176684,4.662666390465479,0.5663603584333554,10.802929237763694,10.148962533581035,1.2389133095051812,0.8989934981822101,11.721811973498259,2.9279989536196562,7.53186209614935,0.08756249737095612,8.595509970519345,5.39155719373537,7.365613818410673,normal
B,3.7256591114277677,7.4114609452169455,4.381313254296613,5.213787951344198,0.983809541305356,11.24953579116877,9.210273266323265,2.8660780488935123,6.1744480337469945,11.647068191070279,4.857404160344007,6.24528873702362,2.324843333343165,5.081817872890828,3.14278932931603,6.662198439385124,normal
G,11.439665432959892,16.54391100368843,2.627769372642757,8.814617424048393,13.14341305348196,11.101671646733028,15.618052936144375,8.502382344917937,4.257685378216072,19.47916811704184,9.454442277354772,11.77633626052444,1.7340418951364018,8.950408349114154,0.25690955840201957,2.669026377400847,ddos_attack
O,2.6886942539909517,10.147935465692518,2.3829577299952116,8.732707080889476,9.354318888054308,9.128268905659992,7.049636291589161,5.909064964646842,3.6061617943912916,6.939311985014065,11.525554156133643,8.872809509032898,1.9767995108724141,2.8466730564676475,4.562644154306533,6.617574916403335,port_scan
B,5.459946794057089,9.85531872767973,4.1005781852021235,3.0630626781885244,2.2618125356101544,5.470260214051425,13.51282815249344,3.648228375135327,6.308012016961214,9.930198816141637,6.109006115931134,11.237627601076882,1.1698008510207307,6.389214910474485,1.010039219069269,4.359954977558589,normal
I,2.2614734817906585,4.642739004325979,3.225629615328038,7.565140583751851,3.3964101640079427,11.991851106528767,7.586125853055233,5.984921662989053,5.839824249678756,5.93403580824076,9.70142013885472,5.226624280159833,2.4584597641657324,7.537794726448946,3.1219902726278086,4.669114659559961,normal
I,3.3100860708674915,9.89734650030487,4.508718083452441,7.167093264006687,3.1750530128564325,5.765647379820419,1.9087078450412447,2.708861142703049,12.695274684095981,6.300220883682647,1.1015244347731405,8.831623401822707,3.140613344910193,8.57464878030428,2.627971338275707,8.691203028933902,normal
